Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
12/21/24 6:54,Buy HEHE,HEHE,1585.1,,,GBP,24.97,31.66541398,trading.crypto_purchase.google_pay,
12/19/24 20:30,Buy DOGE,DOGE,1130.79,,,GBP,300,380.4414975,trading.crypto_purchase.google_pay,
12/16/24 16:23,Buy XRP,XRP,147.166,,,GBP,300,380.4414975,trading.crypto_purchase.google_pay,
12/16/24 16:23,GBP -> XRP,GBP,-73.09,XRP,35.674,GBP,73.09,92.68823017,viban_purchase,
12/16/24 16:22,POPCAT -> GBP,POPCAT,-91.43,GBP,73.06,GBP,73.06,92.65018602,crypto_viban_exchange,
12/16/24 16:19,CRO -> XRP,CRO,-1364.644059,XRP,93.176,GBP,183.09135191950576003048361157073558,232.1851603451875693529094361172632374391035,crypto_exchange,
12/16/24 16:18,AAVE -> CRO,AAVE,-0.64493,CRO,1363.101435,GBP,189.244329654674154950219820568,239.9879872240263112793622216369040686,crypto_exchange,
12/16/24 16:03,Buy XRP,XRP,252.097,,,GBP,498.49,632.1542736,trading.crypto_purchase.google_pay,
12/15/24 0:48,Buy XRP,XRP,256.096,,,GBP,500.01,634.0818439,trading.crypto_purchase.google_pay,
12/12/24 18:24,Buy XRP,XRP,101.695,,,GBP,200,253.627665,trading.crypto_purchase.google_pay,
12/12/24 13:31,Buy AAVE,AAVE,0.3223,,,GBP,100.01,126.8265139,trading.crypto_purchase.google_pay,
12/12/24 13:29,Buy AAVE,AAVE,0.32263,,,GBP,100.01,126.8265139,trading.crypto_purchase.google_pay,
12/11/24 0:04,Withdraw USDT (ERC20),USDT,-100,,,GBP,76.01604438291369132408270420421607,96.39885919687382713528927267100502494788275,crypto_withdrawal,0x139c4a0b606daff665dbf906cd1103df7eac849b185c2e4d6df8fc95a4820bf4
12/10/24 23:58,Buy USDT,USDT,100,,,GBP,80.77,102.4275325,trading.crypto_purchase.google_pay,
12/10/24 20:08,Buy XRP,XRP,111.56,,,GBP,200,253.627665,trading.crypto_purchase.google_pay,
12/9/24 23:42,Buy DYM,DYM,49.728,,,GBP,81.76,103.6829895,trading.crypto_purchase.google_pay,
